"Country","Year","Indicator","Value"
"Mexico",2020,"Carbon_Under_Effective_Protection",75.6448734
"Colombia",2020,"Carbon_Under_Effective_Protection",76.6128936
"Chile",2020,"Carbon_Under_Effective_Protection",43.536083
"Papua New Guinea",2020,"Carbon_Under_Effective_Protection",3.8970329
"Alaska",2020,"Carbon_Under_Effective_Protection",25.7959213
"Tanzania",2020,"Carbon_Under_Effective_Protection",81.8370029
"Fiji",2020,"Carbon_Under_Effective_Protection",38.5639605
"Indonesia",2020,"Carbon_Under_Effective_Protection",25.6706998
"Solomon Islands",2020,"Carbon_Under_Effective_Protection",9.6505148
"Ecuador",2020,"Carbon_Under_Effective_Protection",55.6830664
"Mozambique",2020,"Carbon_Under_Effective_Protection",55.0168381
"Peru",2020,"Carbon_Under_Effective_Protection",30.3813811
"Madagascar",2020,"Carbon_Under_Effective_Protection",17.3934828
"Mexico",2020,"Effective_Protection",78.0714643
"Colombia",2020,"Effective_Protection",72.6517023
"Chile",2020,"Effective_Protection",42.612057
"Papua New Guinea",2020,"Effective_Protection",5.2100158
"Alaska",2020,"Effective_Protection",25.7594088
"Tanzania",2020,"Effective_Protection",57.331378
"Fiji",2020,"Effective_Protection",34.3171747
"Indonesia",2020,"Effective_Protection",10.2295504
"Solomon Islands",2020,"Effective_Protection",6.5599745
"Ecuador",2020,"Effective_Protection",53.135108
"Mozambique",2020,"Effective_Protection",38.5980777
"Peru",2020,"Effective_Protection",28.5562537
"Madagascar",2020,"Effective_Protection",21.2594765
"Mexico",2015,"Human_Development_Index",0.762056947
"Colombia",2015,"Human_Development_Index",0.726937592
"Chile",2015,"Human_Development_Index",0.835279107
"Papua New Guinea",2015,"Human_Development_Index",0.516009212
"Alaska",2015,"Human_Development_Index",0.948195755
"Tanzania",2015,"Human_Development_Index",0.530846834
"Fiji",2015,"Human_Development_Index",0.736000001
"Indonesia",2015,"Human_Development_Index",0.680784285
"Solomon Islands",2015,"Human_Development_Index",0.515130043
"Ecuador",2015,"Human_Development_Index",0.738987029
"Mozambique",2015,"Human_Development_Index",0.418677598
"Peru",2015,"Human_Development_Index",0.7396909
"Madagascar",2015,"Human_Development_Index",0.512000024
"Mexico",2020,"Marine_Living_Planet",0.291788840432599
"United States",2020,"Marine_Living_Planet",2.59604747400616
"Peru",2020,"Marine_Living_Planet",0.836746568052242
"Chile",2020,"Marine_Living_Planet",0.910938378413166
"Ecuador",2020,"Marine_Living_Planet",0.406811612089558
"Mozambique",2020,"Marine_Living_Planet",0.135552265973537
"Papua New Guinea",2020,"Marine_Living_Planet",213.102867458147
"Solomon Islands",2020,"Marine_Living_Planet",0.660780000031388
"Colombia",2020,"Marine_Living_Planet",38.7747901213163
"Fiji",2020,"Marine_Living_Planet",0.227125953900343
"Indonesia",2020,"Marine_Living_Planet",1.58822380877478
"Tanzania, United Republic Of",2020,"Marine_Living_Planet",0.486564906584438
"Solomon Islands",2020,"Habitat_Carbon_Storage",75.74
"Papua New Guinea",2020,"Habitat_Carbon_Storage",73.12
"Fiji",2020,"Habitat_Carbon_Storage",81.21
"Mozambique",2020,"Habitat_Carbon_Storage",79.23
"Madagascar",2020,"Habitat_Carbon_Storage",94.93
"Colombia",2020,"Habitat_Carbon_Storage",67.03
"Mexico",2020,"Habitat_Carbon_Storage",93.8
"Ecuador",2020,"Habitat_Carbon_Storage",74.53
"Peru",2020,"Habitat_Carbon_Storage",76.28
"Tanzania",2020,"Habitat_Carbon_Storage",81.99
"Indonesia",2020,"Habitat_Carbon_Storage",74.01
"Chile",2020,"Habitat_Carbon_Storage",99.45
"Solomon Islands",2020,"Fisheries_Stock_Condition",86.43
"Papua New Guinea",2020,"Fisheries_Stock_Condition",88.39
"Fiji",2020,"Fisheries_Stock_Condition",46.35
"Mozambique",2020,"Fisheries_Stock_Condition",41.38
"Madagascar",2020,"Fisheries_Stock_Condition",50.66
"Colombia",2020,"Fisheries_Stock_Condition",38.34
"Mexico",2020,"Fisheries_Stock_Condition",28.59
"Ecuador",2020,"Fisheries_Stock_Condition",53.37
"Peru",2020,"Fisheries_Stock_Condition",69.4
"Tanzania",2020,"Fisheries_Stock_Condition",61.93
"Indonesia",2020,"Fisheries_Stock_Condition",35.6
"Chile",2020,"Fisheries_Stock_Condition",61.6
"Solomon Islands",2020,"Habitat_Condition",83.3
"Papua New Guinea",2020,"Habitat_Condition",88.05
"Fiji",2020,"Habitat_Condition",91.12
"Mozambique",2020,"Habitat_Condition",64.38
"Madagascar",2020,"Habitat_Condition",75.57
"Colombia",2020,"Habitat_Condition",67.53
"Mexico",2020,"Habitat_Condition",84.15
"Ecuador",2020,"Habitat_Condition",80.13
"Peru",2020,"Habitat_Condition",79.2
"Tanzania",2020,"Habitat_Condition",70.19
"Indonesia",2020,"Habitat_Condition",67.65
"Chile",2020,"Habitat_Condition",65.11
"Solomon Islands",2020,"Marine_Red_List",80.05
"Papua New Guinea",2020,"Marine_Red_List",82.7
"Fiji",2020,"Marine_Red_List",78.67
"Mozambique",2020,"Marine_Red_List",83.89
"Madagascar",2020,"Marine_Red_List",81.96
"Colombia",2020,"Marine_Red_List",77.89
"Mexico",2020,"Marine_Red_List",75.73
"Ecuador",2020,"Marine_Red_List",73.12
"Peru",2020,"Marine_Red_List",71.12
"Tanzania",2020,"Marine_Red_List",82.81
"Indonesia",2020,"Marine_Red_List",83.31
"Chile",2020,"Marine_Red_List",75.32
"Solomon Islands",2021,"Habitat_Carbon_Storage",75.74
"Papua New Guinea",2021,"Habitat_Carbon_Storage",73.12
"Fiji",2021,"Habitat_Carbon_Storage",81.21
"Mozambique",2021,"Habitat_Carbon_Storage",79.23
"Madagascar",2021,"Habitat_Carbon_Storage",94.93
"Colombia",2021,"Habitat_Carbon_Storage",67.03
"Mexico",2021,"Habitat_Carbon_Storage",93.8
"Ecuador",2021,"Habitat_Carbon_Storage",74.53
"Peru",2021,"Habitat_Carbon_Storage",76.28
"Tanzania",2021,"Habitat_Carbon_Storage",81.99
"Indonesia",2021,"Habitat_Carbon_Storage",74.01
"Chile",2021,"Habitat_Carbon_Storage",99.45
"Solomon Islands",2021,"Fisheries_Stock_Condition",86.2
"Papua New Guinea",2021,"Fisheries_Stock_Condition",88.26
"Fiji",2021,"Fisheries_Stock_Condition",45.95
"Mozambique",2021,"Fisheries_Stock_Condition",41.25
"Madagascar",2021,"Fisheries_Stock_Condition",50.64
"Colombia",2021,"Fisheries_Stock_Condition",38.91
"Mexico",2021,"Fisheries_Stock_Condition",29.84
"Ecuador",2021,"Fisheries_Stock_Condition",54.32
"Peru",2021,"Fisheries_Stock_Condition",70.15
"Tanzania",2021,"Fisheries_Stock_Condition",61.76
"Indonesia",2021,"Fisheries_Stock_Condition",35.61
"Chile",2021,"Fisheries_Stock_Condition",64.85
"Solomon Islands",2021,"Habitat_Condition",83.3
"Papua New Guinea",2021,"Habitat_Condition",88.05
"Fiji",2021,"Habitat_Condition",91.12
"Mozambique",2021,"Habitat_Condition",64.38
"Madagascar",2021,"Habitat_Condition",75.57
"Colombia",2021,"Habitat_Condition",67.53
"Mexico",2021,"Habitat_Condition",84.15
"Ecuador",2021,"Habitat_Condition",80.13
"Peru",2021,"Habitat_Condition",79.2
"Tanzania",2021,"Habitat_Condition",70.19
"Indonesia",2021,"Habitat_Condition",67.65
"Chile",2021,"Habitat_Condition",65.11
"Solomon Islands",2021,"Marine_Red_List",79.79
"Papua New Guinea",2021,"Marine_Red_List",82.47
"Fiji",2021,"Marine_Red_List",78.42
"Mozambique",2021,"Marine_Red_List",83.69
"Madagascar",2021,"Marine_Red_List",81.77
"Colombia",2021,"Marine_Red_List",77.57
"Mexico",2021,"Marine_Red_List",75.41
"Ecuador",2021,"Marine_Red_List",72.8
"Peru",2021,"Marine_Red_List",70.87
"Tanzania",2021,"Marine_Red_List",82.57
"Indonesia",2021,"Marine_Red_List",83.04
"Chile",2021,"Marine_Red_List",75.39
"Solomon Islands",2022,"Habitat_Carbon_Storage",75.74
"Papua New Guinea",2022,"Habitat_Carbon_Storage",73.12
"Fiji",2022,"Habitat_Carbon_Storage",81.21
"Mozambique",2022,"Habitat_Carbon_Storage",79.23
"Madagascar",2022,"Habitat_Carbon_Storage",94.93
"Colombia",2022,"Habitat_Carbon_Storage",67.03
"Mexico",2022,"Habitat_Carbon_Storage",93.8
"Ecuador",2022,"Habitat_Carbon_Storage",74.53
"Peru",2022,"Habitat_Carbon_Storage",76.28
"Tanzania",2022,"Habitat_Carbon_Storage",81.99
"Indonesia",2022,"Habitat_Carbon_Storage",74.01
"Chile",2022,"Habitat_Carbon_Storage",99.45
"Solomon Islands",2022,"Fisheries_Stock_Condition",86.13
"Papua New Guinea",2022,"Fisheries_Stock_Condition",88.24
"Fiji",2022,"Fisheries_Stock_Condition",45.97
"Mozambique",2022,"Fisheries_Stock_Condition",41.02
"Madagascar",2022,"Fisheries_Stock_Condition",50.54
"Colombia",2022,"Fisheries_Stock_Condition",44.66
"Mexico",2022,"Fisheries_Stock_Condition",31.91
"Ecuador",2022,"Fisheries_Stock_Condition",52.98
"Peru",2022,"Fisheries_Stock_Condition",69.35
"Tanzania",2022,"Fisheries_Stock_Condition",61.65
"Indonesia",2022,"Fisheries_Stock_Condition",35.54
"Chile",2022,"Fisheries_Stock_Condition",67.49
"Solomon Islands",2022,"Habitat_Condition",83.3
"Papua New Guinea",2022,"Habitat_Condition",88.05
"Fiji",2022,"Habitat_Condition",91.12
"Mozambique",2022,"Habitat_Condition",64.38
"Madagascar",2022,"Habitat_Condition",75.57
"Colombia",2022,"Habitat_Condition",67.53
"Mexico",2022,"Habitat_Condition",84.15
"Ecuador",2022,"Habitat_Condition",80.13
"Peru",2022,"Habitat_Condition",79.2
"Tanzania",2022,"Habitat_Condition",70.19
"Indonesia",2022,"Habitat_Condition",67.65
"Chile",2022,"Habitat_Condition",65.11
"Solomon Islands",2022,"Marine_Red_List",79.54
"Papua New Guinea",2022,"Marine_Red_List",82.25
"Fiji",2022,"Marine_Red_List",78.18
"Mozambique",2022,"Marine_Red_List",83.48
"Madagascar",2022,"Marine_Red_List",81.58
"Colombia",2022,"Marine_Red_List",77.24
"Mexico",2022,"Marine_Red_List",75.1
"Ecuador",2022,"Marine_Red_List",72.47
"Peru",2022,"Marine_Red_List",70.62
"Tanzania",2022,"Marine_Red_List",82.34
"Indonesia",2022,"Marine_Red_List",82.76
"Chile",2022,"Marine_Red_List",75.46
"Solomon Islands",2023,"Habitat_Carbon_Storage",75.74
"Papua New Guinea",2023,"Habitat_Carbon_Storage",73.12
"Fiji",2023,"Habitat_Carbon_Storage",81.21
"Mozambique",2023,"Habitat_Carbon_Storage",79.23
"Madagascar",2023,"Habitat_Carbon_Storage",94.93
"Colombia",2023,"Habitat_Carbon_Storage",67.03
"Mexico",2023,"Habitat_Carbon_Storage",93.8
"Ecuador",2023,"Habitat_Carbon_Storage",74.53
"Peru",2023,"Habitat_Carbon_Storage",76.28
"Tanzania",2023,"Habitat_Carbon_Storage",81.99
"Indonesia",2023,"Habitat_Carbon_Storage",74.01
"Chile",2023,"Habitat_Carbon_Storage",99.45
"Solomon Islands",2023,"Fisheries_Stock_Condition",86.19
"Papua New Guinea",2023,"Fisheries_Stock_Condition",88.22
"Fiji",2023,"Fisheries_Stock_Condition",46.13
"Mozambique",2023,"Fisheries_Stock_Condition",40.97
"Madagascar",2023,"Fisheries_Stock_Condition",50.55
"Colombia",2023,"Fisheries_Stock_Condition",45.36
"Mexico",2023,"Fisheries_Stock_Condition",31.96
"Ecuador",2023,"Fisheries_Stock_Condition",52.38
"Peru",2023,"Fisheries_Stock_Condition",69.52
"Tanzania",2023,"Fisheries_Stock_Condition",61.68
"Indonesia",2023,"Fisheries_Stock_Condition",35.52
"Chile",2023,"Fisheries_Stock_Condition",67.06
"Solomon Islands",2023,"Habitat_Condition",83.3
"Papua New Guinea",2023,"Habitat_Condition",88.05
"Fiji",2023,"Habitat_Condition",91.12
"Mozambique",2023,"Habitat_Condition",64.38
"Madagascar",2023,"Habitat_Condition",75.57
"Colombia",2023,"Habitat_Condition",67.53
"Mexico",2023,"Habitat_Condition",84.15
"Ecuador",2023,"Habitat_Condition",80.13
"Peru",2023,"Habitat_Condition",79.2
"Tanzania",2023,"Habitat_Condition",70.19
"Indonesia",2023,"Habitat_Condition",67.65
"Chile",2023,"Habitat_Condition",65.11
"Solomon Islands",2023,"Marine_Red_List",79.54
"Papua New Guinea",2023,"Marine_Red_List",82.25
"Fiji",2023,"Marine_Red_List",78.18
"Mozambique",2023,"Marine_Red_List",83.48
"Madagascar",2023,"Marine_Red_List",81.58
"Colombia",2023,"Marine_Red_List",77.24
"Mexico",2023,"Marine_Red_List",75.1
"Ecuador",2023,"Marine_Red_List",72.47
"Peru",2023,"Marine_Red_List",70.62
"Tanzania",2023,"Marine_Red_List",82.34
"Indonesia",2023,"Marine_Red_List",82.76
"Chile",2023,"Marine_Red_List",75.46
"Chile",2020,"Small_Scale_Fisheries_Rights",5
"Chile",2022,"Small_Scale_Fisheries_Rights",5
"Colombia",2020,"Small_Scale_Fisheries_Rights",5
"Colombia",2022,"Small_Scale_Fisheries_Rights",5
"Ecuador",2020,"Small_Scale_Fisheries_Rights",5
"Ecuador",2022,"Small_Scale_Fisheries_Rights",5
"Indonesia",2022,"Small_Scale_Fisheries_Rights",5
"Madagascar",2020,"Small_Scale_Fisheries_Rights",3
"Mexico",2020,"Small_Scale_Fisheries_Rights",5
"Mexico",2022,"Small_Scale_Fisheries_Rights",5
"Peru",2020,"Small_Scale_Fisheries_Rights",5
"Peru",2022,"Small_Scale_Fisheries_Rights",5
"Solomon Islands",2020,"Small_Scale_Fisheries_Rights",4
"Solomon Islands",2022,"Small_Scale_Fisheries_Rights",5
"Tanzania",2022,"Small_Scale_Fisheries_Rights",5
"Mexico",2020,"Wealth_Relative_Index",34.28527832
"Colombia",2020,"Wealth_Relative_Index",28.46968842
"Chile",2020,"Wealth_Relative_Index",36.60826111
"Papua New Guinea",2020,"Wealth_Relative_Index",18.6682663
"Alaska",2020,"Wealth_Relative_Index",44.72738647
"Tanzania",2020,"Wealth_Relative_Index",11.04576874
"Fiji",2020,"Wealth_Relative_Index",27.84141541
"Indonesia",2020,"Wealth_Relative_Index",33.80088806
"Solomon Islands",2020,"Wealth_Relative_Index",16.93730164
"Ecuador",2020,"Wealth_Relative_Index",30.59062958
"Mozambique",2020,"Wealth_Relative_Index",7.000457764
"Peru",2020,"Wealth_Relative_Index",26.06931305
"Madagascar",2020,"Wealth_Relative_Index",12.85861206
