Country,Year,Indicator,Value
Mexico,2020,Carbon_Under_Effective_Protection,75.6448734
Colombia,2020,Carbon_Under_Effective_Protection,76.6128936
Chile,2020,Carbon_Under_Effective_Protection,43.536083
Papua New Guinea,2020,Carbon_Under_Effective_Protection,3.8970329
Alaska,2020,Carbon_Under_Effective_Protection,25.7959213
Tanzania,2020,Carbon_Under_Effective_Protection,81.8370029
Fiji,2020,Carbon_Under_Effective_Protection,38.5639605
Indonesia,2020,Carbon_Under_Effective_Protection,25.6706998
Solomon Islands,2020,Carbon_Under_Effective_Protection,9.6505148
Ecuador,2020,Carbon_Under_Effective_Protection,55.6830664
Mozambique,2020,Carbon_Under_Effective_Protection,55.0168381
Peru,2020,Carbon_Under_Effective_Protection,30.3813811
Madagascar,2020,Carbon_Under_Effective_Protection,17.3934828
