"Country","Year","Indicator","Value"
"Mexico",2020,"Effective_Protection",78.0714643068985
"Colombia",2020,"Effective_Protection",72.6517023467545
"Chile",2020,"Effective_Protection",42.6120569700198
"Papua New Guinea",2020,"Effective_Protection",5.21001580381466
"Alaska",2020,"Effective_Protection",25.7594088117013
"Tanzania",2020,"Effective_Protection",57.3313780464402
"Fiji",2020,"Effective_Protection",34.3171747447705
"Indonesia",2020,"Effective_Protection",26.6839418495444
"Solomon Islands",2020,"Effective_Protection",6.55997454772274
"Ecuador",2020,"Effective_Protection",53.1351080314927
"Mozambique",2020,"Effective_Protection",38.5980777021111
"Peru",2020,"Effective_Protection",28.556253737269
"Madagascar",2020,"Effective_Protection",21.2594764842018
