"Country","Year","Indicator","Value"
"Solomon Islands",2020,"Habitat_Carbon_Storage",74.55
"Papua New Guinea",2020,"Habitat_Carbon_Storage",71.68
"Fiji",2020,"Habitat_Carbon_Storage",80.26
"Mozambique",2020,"Habitat_Carbon_Storage",78.53
"Madagascar",2020,"Habitat_Carbon_Storage",95.3
"Colombia",2020,"Habitat_Carbon_Storage",67.3
"Mexico",2020,"Habitat_Carbon_Storage",94.01
"Ecuador",2020,"Habitat_Carbon_Storage",74.5
"Peru",2020,"Habitat_Carbon_Storage",76.53
"Tanzania",2020,"Habitat_Carbon_Storage",81.18
"Indonesia",2020,"Habitat_Carbon_Storage",73.42
"Chile",2020,"Habitat_Carbon_Storage",100
"Solomon Islands",2020,"Habitat_Carbon_Storage",37.1
"Papua New Guinea",2020,"Habitat_Carbon_Storage",38.07
"Fiji",2020,"Habitat_Carbon_Storage",30.08
"Mozambique",2020,"Habitat_Carbon_Storage",43.64
"Madagascar",2020,"Habitat_Carbon_Storage",42.91
"Colombia",2020,"Habitat_Carbon_Storage",35.48
"Mexico",2020,"Habitat_Carbon_Storage",36.6
"Ecuador",2020,"Habitat_Carbon_Storage",37.44
"Peru",2020,"Habitat_Carbon_Storage",33.1
"Tanzania",2020,"Habitat_Carbon_Storage",44.21
"Indonesia",2020,"Habitat_Carbon_Storage",37.44
"Chile",2020,"Habitat_Carbon_Storage",23.36
"Solomon Islands",2020,"Habitat_Carbon_Storage",57.67
"Papua New Guinea",2020,"Habitat_Carbon_Storage",39.08
"Fiji",2020,"Habitat_Carbon_Storage",61.23
"Mozambique",2020,"Habitat_Carbon_Storage",63.9
"Madagascar",2020,"Habitat_Carbon_Storage",59.63
"Colombia",2020,"Habitat_Carbon_Storage",72.6
"Mexico",2020,"Habitat_Carbon_Storage",73.02
"Ecuador",2020,"Habitat_Carbon_Storage",76.16
"Peru",2020,"Habitat_Carbon_Storage",58.69
"Tanzania",2020,"Habitat_Carbon_Storage",68.2
"Indonesia",2020,"Habitat_Carbon_Storage",71.73
"Chile",2020,"Habitat_Carbon_Storage",81.14
"Solomon Islands",2020,"Habitat_Carbon_Storage",75.74
"Papua New Guinea",2020,"Habitat_Carbon_Storage",73.12
"Fiji",2020,"Habitat_Carbon_Storage",81.21
"Mozambique",2020,"Habitat_Carbon_Storage",79.23
"Madagascar",2020,"Habitat_Carbon_Storage",94.93
"Colombia",2020,"Habitat_Carbon_Storage",67.03
"Mexico",2020,"Habitat_Carbon_Storage",93.8
"Ecuador",2020,"Habitat_Carbon_Storage",74.53
"Peru",2020,"Habitat_Carbon_Storage",76.28
"Tanzania",2020,"Habitat_Carbon_Storage",81.99
"Indonesia",2020,"Habitat_Carbon_Storage",74.01
"Chile",2020,"Habitat_Carbon_Storage",99.45
"Solomon Islands",2020,"Habitat_Carbon_Storage",76.93
"Papua New Guinea",2020,"Habitat_Carbon_Storage",74.56
"Fiji",2020,"Habitat_Carbon_Storage",82.16
"Mozambique",2020,"Habitat_Carbon_Storage",79.94
"Madagascar",2020,"Habitat_Carbon_Storage",94.56
"Colombia",2020,"Habitat_Carbon_Storage",66.76
"Mexico",2020,"Habitat_Carbon_Storage",93.58
"Ecuador",2020,"Habitat_Carbon_Storage",74.55
"Peru",2020,"Habitat_Carbon_Storage",76.03
"Tanzania",2020,"Habitat_Carbon_Storage",82.81
"Indonesia",2020,"Habitat_Carbon_Storage",74.6
"Chile",2020,"Habitat_Carbon_Storage",98.89
"Solomon Islands",2020,"Habitat_Carbon_Storage",-0.05
"Papua New Guinea",2020,"Habitat_Carbon_Storage",-0.06
"Fiji",2020,"Habitat_Carbon_Storage",-0.03
"Mozambique",2020,"Habitat_Carbon_Storage",-0.03
"Madagascar",2020,"Habitat_Carbon_Storage",0.01
"Colombia",2020,"Habitat_Carbon_Storage",0.01
"Mexico",2020,"Habitat_Carbon_Storage",0.01
"Ecuador",2020,"Habitat_Carbon_Storage",0
"Peru",2020,"Habitat_Carbon_Storage",0.01
"Tanzania",2020,"Habitat_Carbon_Storage",-0.03
"Indonesia",2020,"Habitat_Carbon_Storage",-0.02
"Chile",2020,"Habitat_Carbon_Storage",0.05
"Solomon Islands",2020,"Fisheries_Stock_Condition",86.16
"Papua New Guinea",2020,"Fisheries_Stock_Condition",88.38
"Fiji",2020,"Fisheries_Stock_Condition",45.6
"Mozambique",2020,"Fisheries_Stock_Condition",41.36
"Madagascar",2020,"Fisheries_Stock_Condition",50.61
"Colombia",2020,"Fisheries_Stock_Condition",38.49
"Mexico",2020,"Fisheries_Stock_Condition",24.78
"Ecuador",2020,"Fisheries_Stock_Condition",53.95
"Peru",2020,"Fisheries_Stock_Condition",69.3
"Tanzania",2020,"Fisheries_Stock_Condition",61.87
"Indonesia",2020,"Fisheries_Stock_Condition",35.49
"Chile",2020,"Fisheries_Stock_Condition",62.6
"Solomon Islands",2020,"Fisheries_Stock_Condition",31.68
"Papua New Guinea",2020,"Fisheries_Stock_Condition",36.77
"Fiji",2020,"Fisheries_Stock_Condition",25
"Mozambique",2020,"Fisheries_Stock_Condition",45.19
"Madagascar",2020,"Fisheries_Stock_Condition",45.59
"Colombia",2020,"Fisheries_Stock_Condition",29.88
"Mexico",2020,"Fisheries_Stock_Condition",36.92
"Ecuador",2020,"Fisheries_Stock_Condition",32.35
"Peru",2020,"Fisheries_Stock_Condition",30.02
"Tanzania",2020,"Fisheries_Stock_Condition",54.34
"Indonesia",2020,"Fisheries_Stock_Condition",48.35
"Chile",2020,"Fisheries_Stock_Condition",25.82
"Solomon Islands",2020,"Fisheries_Stock_Condition",58
"Papua New Guinea",2020,"Fisheries_Stock_Condition",51.05
"Fiji",2020,"Fisheries_Stock_Condition",61.62
"Mozambique",2020,"Fisheries_Stock_Condition",55.37
"Madagascar",2020,"Fisheries_Stock_Condition",53.4
"Colombia",2020,"Fisheries_Stock_Condition",64.62
"Mexico",2020,"Fisheries_Stock_Condition",67.75
"Ecuador",2020,"Fisheries_Stock_Condition",64.56
"Peru",2020,"Fisheries_Stock_Condition",59
"Tanzania",2020,"Fisheries_Stock_Condition",57.48
"Indonesia",2020,"Fisheries_Stock_Condition",65.07
"Chile",2020,"Fisheries_Stock_Condition",80.01
"Solomon Islands",2020,"Fisheries_Stock_Condition",86.43
"Papua New Guinea",2020,"Fisheries_Stock_Condition",88.39
"Fiji",2020,"Fisheries_Stock_Condition",46.35
"Mozambique",2020,"Fisheries_Stock_Condition",41.38
"Madagascar",2020,"Fisheries_Stock_Condition",50.66
"Colombia",2020,"Fisheries_Stock_Condition",38.34
"Mexico",2020,"Fisheries_Stock_Condition",28.59
"Ecuador",2020,"Fisheries_Stock_Condition",53.37
"Peru",2020,"Fisheries_Stock_Condition",69.4
"Tanzania",2020,"Fisheries_Stock_Condition",61.93
"Indonesia",2020,"Fisheries_Stock_Condition",35.6
"Chile",2020,"Fisheries_Stock_Condition",61.6
"Solomon Islands",2020,"Fisheries_Stock_Condition",86.7
"Papua New Guinea",2020,"Fisheries_Stock_Condition",88.4
"Fiji",2020,"Fisheries_Stock_Condition",47.1
"Mozambique",2020,"Fisheries_Stock_Condition",41.4
"Madagascar",2020,"Fisheries_Stock_Condition",50.7
"Colombia",2020,"Fisheries_Stock_Condition",38.2
"Mexico",2020,"Fisheries_Stock_Condition",32.4
"Ecuador",2020,"Fisheries_Stock_Condition",52.8
"Peru",2020,"Fisheries_Stock_Condition",69.5
"Tanzania",2020,"Fisheries_Stock_Condition",62
"Indonesia",2020,"Fisheries_Stock_Condition",35.7
"Chile",2020,"Fisheries_Stock_Condition",60.6
"Solomon Islands",2020,"Fisheries_Stock_Condition",-0.01
"Papua New Guinea",2020,"Fisheries_Stock_Condition",0
"Fiji",2020,"Fisheries_Stock_Condition",-0.05
"Mozambique",2020,"Fisheries_Stock_Condition",0
"Madagascar",2020,"Fisheries_Stock_Condition",0
"Colombia",2020,"Fisheries_Stock_Condition",0.01
"Mexico",2020,"Fisheries_Stock_Condition",-0.35
"Ecuador",2020,"Fisheries_Stock_Condition",0.03
"Peru",2020,"Fisheries_Stock_Condition",0
"Tanzania",2020,"Fisheries_Stock_Condition",0
"Indonesia",2020,"Fisheries_Stock_Condition",-0.01
"Chile",2020,"Fisheries_Stock_Condition",0.05
"Solomon Islands",2020,"Habitat_Condition",84.19
"Papua New Guinea",2020,"Habitat_Condition",86.35
"Fiji",2020,"Habitat_Condition",91.24
"Mozambique",2020,"Habitat_Condition",62.09
"Madagascar",2020,"Habitat_Condition",73.42
"Colombia",2020,"Habitat_Condition",65.13
"Mexico",2020,"Habitat_Condition",82.42
"Ecuador",2020,"Habitat_Condition",77.55
"Peru",2020,"Habitat_Condition",77.96
"Tanzania",2020,"Habitat_Condition",68.74
"Indonesia",2020,"Habitat_Condition",63.39
"Chile",2020,"Habitat_Condition",62.44
"Solomon Islands",2020,"Habitat_Condition",33.62
"Papua New Guinea",2020,"Habitat_Condition",36.23
"Fiji",2020,"Habitat_Condition",27.42
"Mozambique",2020,"Habitat_Condition",43.08
"Madagascar",2020,"Habitat_Condition",42.03
"Colombia",2020,"Habitat_Condition",32.85
"Mexico",2020,"Habitat_Condition",35.35
"Ecuador",2020,"Habitat_Condition",31.26
"Peru",2020,"Habitat_Condition",31.25
"Tanzania",2020,"Habitat_Condition",43.57
"Indonesia",2020,"Habitat_Condition",37.18
"Chile",2020,"Habitat_Condition",23.06
"Solomon Islands",2020,"Habitat_Condition",63.37
"Papua New Guinea",2020,"Habitat_Condition",53.35
"Fiji",2020,"Habitat_Condition",66.58
"Mozambique",2020,"Habitat_Condition",61.44
"Madagascar",2020,"Habitat_Condition",61.92
"Colombia",2020,"Habitat_Condition",71.71
"Mexico",2020,"Habitat_Condition",70.93
"Ecuador",2020,"Habitat_Condition",71.32
"Peru",2020,"Habitat_Condition",64.72
"Tanzania",2020,"Habitat_Condition",66.36
"Indonesia",2020,"Habitat_Condition",70.94
"Chile",2020,"Habitat_Condition",80.6
"Solomon Islands",2020,"Habitat_Condition",83.3
"Papua New Guinea",2020,"Habitat_Condition",88.05
"Fiji",2020,"Habitat_Condition",91.12
"Mozambique",2020,"Habitat_Condition",64.38
"Madagascar",2020,"Habitat_Condition",75.57
"Colombia",2020,"Habitat_Condition",67.53
"Mexico",2020,"Habitat_Condition",84.15
"Ecuador",2020,"Habitat_Condition",80.13
"Peru",2020,"Habitat_Condition",79.2
"Tanzania",2020,"Habitat_Condition",70.19
"Indonesia",2020,"Habitat_Condition",67.65
"Chile",2020,"Habitat_Condition",65.11
"Solomon Islands",2020,"Habitat_Condition",82.42
"Papua New Guinea",2020,"Habitat_Condition",89.76
"Fiji",2020,"Habitat_Condition",91
"Mozambique",2020,"Habitat_Condition",66.67
"Madagascar",2020,"Habitat_Condition",77.72
"Colombia",2020,"Habitat_Condition",69.94
"Mexico",2020,"Habitat_Condition",85.87
"Ecuador",2020,"Habitat_Condition",82.71
"Peru",2020,"Habitat_Condition",80.43
"Tanzania",2020,"Habitat_Condition",71.64
"Indonesia",2020,"Habitat_Condition",71.92
"Chile",2020,"Habitat_Condition",67.79
"Solomon Islands",2020,"Habitat_Condition",0.03
"Papua New Guinea",2020,"Habitat_Condition",-0.06
"Fiji",2020,"Habitat_Condition",0
"Mozambique",2020,"Habitat_Condition",-0.1
"Madagascar",2020,"Habitat_Condition",-0.08
"Colombia",2020,"Habitat_Condition",-0.1
"Mexico",2020,"Habitat_Condition",-0.06
"Ecuador",2020,"Habitat_Condition",-0.09
"Peru",2020,"Habitat_Condition",-0.05
"Tanzania",2020,"Habitat_Condition",-0.06
"Indonesia",2020,"Habitat_Condition",-0.18
"Chile",2020,"Habitat_Condition",-0.12
"Solomon Islands",2020,"Marine_Red_List",79.61
"Papua New Guinea",2020,"Marine_Red_List",82.32
"Fiji",2020,"Marine_Red_List",78.25
"Mozambique",2020,"Marine_Red_List",83.55
"Madagascar",2020,"Marine_Red_List",81.64
"Colombia",2020,"Marine_Red_List",77.34
"Mexico",2020,"Marine_Red_List",75.19
"Ecuador",2020,"Marine_Red_List",72.57
"Peru",2020,"Marine_Red_List",70.7
"Tanzania",2020,"Marine_Red_List",82.41
"Indonesia",2020,"Marine_Red_List",82.85
"Chile",2020,"Marine_Red_List",75.44
"Solomon Islands",2020,"Marine_Red_List",35.01
"Papua New Guinea",2020,"Marine_Red_List",39.24
"Fiji",2020,"Marine_Red_List",28.63
"Mozambique",2020,"Marine_Red_List",50.8
"Madagascar",2020,"Marine_Red_List",50.53
"Colombia",2020,"Marine_Red_List",38.67
"Mexico",2020,"Marine_Red_List",43.39
"Ecuador",2020,"Marine_Red_List",35.08
"Peru",2020,"Marine_Red_List",33.55
