"UNION","marsh_soc0_t","marsh_pa_soc0_t","marsh_pa_soc0_percentage","marsh_soc30_t","marsh_pa_soc30_t","marsh_pa_soc30_percentage"
"Mexico",9605482.31480624,6973552.33487343,72.5997103146413,20703812.9236853,15015990.9374539,72.5276594838021
"Colombia",353251.965914179,303477.378948204,85.9096079374497,777636.112962443,666689.798833896,85.7328752768577
"Chile",5279142.31774569,2283750.70929397,43.2598814700866,9936339.65812138,4340474.14939328,43.682827869573
"Papua New Guinea",438746.455771623,19993.1379762348,4.55687737490046,998630.415893275,45426.6806962583,4.54889816826019
"Alaska",22251697.3319251,5738428.14585376,25.7887210141973,43405496.776704,11198449.9794164,25.7996125168799
"Tanzania",41757.7249772581,33911.9720105909,81.2112537956985,84722.0103623151,68859.4760733573,81.2769618885088
"Fiji",0,0,NA,0,0,NA
"Indonesia",1295717.63414795,0,0,3030375.58744416,0,0
"Solomon Islands",0,0,NA,0,0,NA
"Ecuador",7004.62082396712,2432.50269606136,34.7271145318569,14269.6781619886,4922.92800929868,34.4992224310449
"Mozambique",8580967.92878095,4323747.16100484,50.3876392137861,18081055.9776987,9176087.11148679,50.7497301197708
"Peru",73447.5638852961,1091.28011690394,1.48579484352702,147085.974727067,2185.53609193098,1.48589020536218
"Madagascar",1114734.62657328,153836.656643473,13.8002940768396,2384614.41775665,328162.450471058,13.7616567285448
